label,centroid_x_um,centroid_y_um,length_um,width_um,length_mm,volume_um3,volume_mm3,area_um2,mask_path
58,32930.81895867177,623.465259592598,3538.731619255365,3344.871,3.538731619255365,8360369204.399474,8.360369204399474,3001631.928379221,out/guided_masks/guided_mask_58.png
59,32779.692814796326,620.0298896707757,1852.4146083299377,1635.2702666666667,1.8524146083299378,1769267433.4824812,1.7692674334824812,1452195.8033706273,out/guided_masks/guided_mask_59.png
60,32453.06426273768,1055.0201068142403,2561.267140293535,1932.5921333333333,2.561267140293535,4302665731.284766,4.302665731284766,2336198.7273521386,out/guided_masks/guided_mask_60.png
61,31813.154068712378,696.2613814016033,3374.6031866666667,3374.6031866666667,3.3746031866666666,9750650436.35495,9.75065043635495,3703309.249289545,out/guided_masks/guided_mask_61.png
62,31846.678179880982,1006.9974640164278,2292.3126707157458,2006.9226,2.292312670715746,3668111988.4302692,3.6681119884302693,1757839.814337235,out/guided_masks/guided_mask_62.png
63,31904.50745569977,610.8156018432438,1722.7871292267014,1560.9398,1.7227871292267014,1668977407.8412282,1.6689774078412283,1464350.843575373,out/guided_masks/guided_mask_63.png
64,31396.76674950783,555.830581085084,1464.711452417548,1382.54668,1.464711452417548,1264660663.8173535,1.2646606638173534,1462361.8369964147,out/guided_masks/guided_mask_64.png
65,31096.813084516954,1075.1276725220825,2368.957862130298,1962.32432,2.3689578621302982,3986471751.300762,3.9864717513007624,2126690.03436852,out/guided_masks/guided_mask_65.png
66,30700.925566900827,652.8524125176133,3196.2100666666665,3196.2100666666665,3.1962100666666666,8031330188.026732,8.031330188026732,2875440.5109808603,out/guided_masks/guided_mask_66.png
67,27923.304055142427,538.0946298770615,3635.9601397364468,3582.7284933333335,3.6359601397364467,9391849537.758896,9.391849537758896,2948149.7514783395,out/guided_masks/guided_mask_67.png
68,28281.448393060447,600.350926249174,2524.0773707374,2304.2444666666665,2.5240773707374,4463508225.237719,4.463508225237718,1895081.2682853644,out/guided_masks/guided_mask_68.png
69,28121.58178906124,456.0640898495742,1912.9737206541472,1813.6633866666666,1.9129737206541473,1817888313.1518524,1.8178883131518524,1444681.7785167845,out/guided_masks/guided_mask_69.png
70,27672.19206758838,646.3730279628296,2538.075102607955,2319.11056,2.538075102607955,4605015215.104776,4.6050152151047765,2148348.1060060672,out/guided_masks/guided_mask_70.png
71,27499.63137024628,494.491727556157,2023.5214396314166,1992.0565066666668,2.0235214396314167,2254870705.4930816,2.2548707054930817,1633195.4020558419,out/guided_masks/guided_mask_71.png
72,26983.140375375177,633.1252192734067,3249.7537901595856,3121.8796,3.2497537901595854,8041436601.416828,8.041436601416828,3193681.563614204,out/guided_masks/guided_mask_72.png
73,27099.66561445717,682.2962427776828,2492.4366637797593,2244.7800933333333,2.4924366637797593,4314552593.672091,4.31455259367209,2585266.551183929,out/guided_masks/guided_mask_73.png
74,26974.580756223007,491.17749686455227,1971.5176694736713,1873.12776,1.9715176694736714,2184843152.083062,2.184843152083062,1630543.3932838973,out/guided_masks/guided_mask_74.png
75,26561.80324826209,528.8456157108684,1808.8160242529582,1635.2702666666667,1.8088160242529583,1665192878.5717468,1.665192878571747,1416614.6856803715,out/guided_masks/guided_mask_75.png
76,26566.611158653286,840.9973500084305,2771.5352734539665,2542.10196,2.7715352734539667,6639805222.134061,6.63980522213406,2708805.9598103454,out/guided_masks/guided_mask_76.png
77,25758.075322446915,737.0550718429816,3169.177316382927,3077.28132,3.169177316382927,7887032967.943723,7.887032967943723,3118983.3165377667,out/guided_masks/guided_mask_77.png
78,25564.07186858179,1147.8562316766254,2751.2238102294955,2110.9852533333333,2.7512238102294955,5237726580.301266,5.237726580301266,2884943.5424136617,out/guided_masks/guided_mask_78.png
79,24597.75516854843,692.5207850661692,2835.1136185800606,2779.9594533333334,2.8351136185800607,5835043995.625223,5.835043995625223,2131994.0519124093,out/guided_masks/guided_mask_79.png
80,24510.566304361495,1287.2582651887085,2533.9663774467263,1873.12776,2.5339663774467263,3987338752.551588,3.987338752551588,2137298.0694562984,out/guided_masks/guided_mask_80.png
81,23330.49169559129,595.9333952069443,2870.1551411205264,2765.09336,2.8701551411205264,6070371186.323297,6.070371186323297,2817538.319460071,out/guided_masks/guided_mask_81.png
82,23554.690368200532,927.9796007257625,2452.4988490093538,1917.72604,2.4524988490093538,3578315430.308941,3.578315430308941,2021935.6878767114,out/guided_masks/guided_mask_82.png
83,23420.918302438302,500.7209177311725,1813.098349909107,1605.53808,1.813098349909107,1705515317.6974924,1.7055153176974924,1390978.6008849076,out/guided_masks/guided_mask_83.png
84,20763.27376491257,1754.2531833537298,3056.0430352199473,2720.49508,3.0560430352199472,7662015179.023832,7.6620151790238324,3214455.63232777,out/guided_masks/guided_mask_84.png
85,20830.869999603823,1567.4681002624436,2742.1172589928806,1843.3955733333335,2.7421172589928804,4496571249.128369,4.496571249128369,2930469.692998709,out/guided_masks/guided_mask_85.png
86,3555.0266317827,14461.902964404393,2958.3525733333336,2958.3525733333336,2.9583525733333333,7697926921.310054,7.697926921310054,3482308.5182941677,out/guided_masks/guided_mask_86.png
87,3564.2389048839323,14454.788873729865,2884.022106666667,1783.9312,2.884022106666667,4805664076.010364,4.8056640760103635,3566951.7982653975,out/guided_masks/guided_mask_87.png
88,20269.05440753627,732.841529006826,2682.4258364191082,2571.8341466666666,2.682425836419108,5560388664.854929,5.560388664854929,3356338.1016268022,out/guided_masks/guided_mask_88.png
89,20050.90693083258,1315.6324735350797,2998.7299213650795,1828.52948,2.9987299213650793,4918823221.408429,4.918823221408429,3914364.947390131,out/guided_masks/guided_mask_89.png
90,20085.766800921374,604.4040108494756,1603.159709139972,1516.34152,1.6031597091399719,1646559232.6412823,1.6465592326412823,1608664.3209153549,out/guided_masks/guided_mask_90.png
91,19005.11313773897,623.6598206194669,2809.69164,2809.69164,2.80969164,5899076510.624269,5.899076510624268,3037213.0460694768,out/guided_masks/guided_mask_91.png
92,18870.648912028293,1268.6570868497504,3022.994244390286,1962.32432,3.022994244390286,6054641306.486871,6.054641306486871,3894916.8830625378,out/guided_masks/guided_mask_92.png
93,18763.187968840048,531.4089266578754,1669.3870960519293,1546.0737066666668,1.6693870960519293,1637338743.148365,1.637338743148365,1508329.9890434532,out/guided_masks/guided_mask_93.png
94,14386.878001441863,2283.7845137943455,2924.2933320147667,2884.022106666667,2.924293332014767,6992241230.595079,6.99224123059508,2454434.1184346657,out/guided_masks/guided_mask_94.png
95,14428.367996624926,2131.622263041145,2374.530857283475,1769.0651066666667,2.3745308572834753,3313004446.3531127,3.3130044463531125,1976630.5380226588,out/guided_masks/guided_mask_95.png
96,15354.595350424539,478.4431615828618,2571.8341466666666,2571.8341466666666,2.5718341466666668,4530687060.252164,4.530687060252164,2070113.8472337036,out/guided_masks/guided_mask_96.png
97,15741.347548272432,602.5009733023128,2081.347289443763,1783.9312,2.0813472894437632,2576232288.1705046,2.5762322881705044,1614852.3413832255,out/guided_masks/guided_mask_97.png
98,14317.696497533128,742.7017384231167,2905.2194973889573,2809.69164,2.9052194973889574,8234127629.41304,8.23412762941304,3569161.805575351,out/guided_masks/guided_mask_98.png
99,14401.199485205987,803.2820298937014,2495.575164574234,2006.9226,2.495575164574234,4326491063.276728,4.326491063276728,2785935.2149277325,out/guided_masks/guided_mask_99.png
100,14543.92137275371,533.1768446921977,1590.6719866666667,1590.6719866666667,1.5906719866666668,1831638196.084109,1.831638196084109,1494627.9437217398,out/guided_masks/guided_mask_100.png
101,11409.909084159712,774.8832556962855,2870.8844802453,2839.4238266666666,2.8708844802453,8158292543.814944,8.158292543814945,3601427.912300676,out/guided_masks/guided_mask_101.png
102,11388.537770757584,1473.3407061323521,3499.1469216998908,2036.6547866666667,3.4991469216998907,6651162250.423659,6.651162250423659,3843865.7142026057,out/guided_masks/guided_mask_102.png
103,11200.79508656435,506.02141111685927,1427.14496,1427.14496,1.4271449600000001,1252445235.4798145,1.2524452354798146,1281583.2390421957,out/guided_masks/guided_mask_103.png
104,10584.375674384059,1300.7764338345412,3293.218607846343,1813.6633866666666,3.293218607846343,5197624331.969381,5.197624331969381,3415787.298264559,out/guided_masks/guided_mask_104.png
105,9404.846254497867,661.8700290274263,2586.70024,2586.70024,2.5867002400000003,6093594434.1132965,6.093594434113297,2882070.532910722,out/guided_masks/guided_mask_105.png
106,9584.460008188926,1177.5454590074996,2569.6628942284815,1486.6093333333333,2.5696628942284816,2855599357.8813014,2.8555993578813013,2308352.635246721,out/guided_masks/guided_mask_106.png
107,9267.161528932125,622.3437385060942,1535.9495334244268,1144.6891866666667,1.5359495334244269,989332718.9814392,0.9893327189814393,1317606.3581944422,out/guided_masks/guided_mask_107.png
108,7281.624250919121,721.8917968908002,2750.2272666666668,2750.2272666666668,2.7502272666666667,6888402348.643399,6.8884023486434,3391919.219317058,out/guided_masks/guided_mask_108.png
109,7346.445879715184,1130.3475882549662,2747.3770273285577,1992.0565066666668,2.747377027328558,5281957406.018041,5.281957406018041,3445180.3954869444,out/guided_masks/guided_mask_109.png
110,7244.712628438256,549.5387037056378,1542.316777695159,1516.34152,1.5423167776951592,1521277551.8968375,1.5212775518968376,1523579.0394821344,out/guided_masks/guided_mask_110.png
111,9426.28749872049,2439.5745825490335,2616.4324266666667,2616.4324266666667,2.6164324266666665,7353491751.772833,7.353491751772832,3098651.249286192,out/guided_masks/guided_mask_111.png
112,9506.504769080293,2561.842593498313,3047.5491333333334,1560.9398,3.0475491333333333,3887958734.1755886,3.8879587341755886,2750575.0979684717,out/guided_masks/guided_mask_112.png
113,6501.3845735279,1188.4534547769547,3051.2937185290675,1902.8599466666667,3.0512937185290676,5157749155.393666,5.157749155393666,2922955.6681448664,out/guided_masks/guided_mask_113.png
114,6146.676332416869,597.1586468444013,2458.7776437652997,2363.7088400000002,2.4587776437652997,4870813027.143907,4.870813027143907,2279622.540217322,out/guided_masks/guided_mask_114.png
115,6026.049563853157,1274.3448145608809,2914.0087449217713,2051.52088,2.9140087449217713,6027888125.032793,6.027888125032793,3559879.7748735454,out/guided_masks/guided_mask_115.png
116,6163.462030794636,987.6330213062913,2646.1646133333334,2646.1646133333334,2.646164613333333,7903094854.211517,7.903094854211517,3988179.1915425872,out/guided_masks/guided_mask_116.png
117,6355.453097957405,1016.4438894739784,2124.017684137002,1219.0196533333333,2.124017684137002,1526830488.4795122,1.5268304884795123,1317827.3589254378,out/guided_masks/guided_mask_117.png
118,4176.672221831092,592.4388819089596,3225.9422533333336,3225.9422533333336,3.2259422533333337,8586467304.401746,8.586467304401745,3008482.9510400775,out/guided_masks/guided_mask_118.png
119,3928.7616080083512,1249.7277038154295,3079.2252625749697,2333.976653333333,3.07922526257497,7929213266.892667,7.929213266892667,3528276.6703412062,out/guided_masks/guided_mask_119.png
120,2703.455754907315,636.5093847885448,3344.871,3344.871,3.344871,9666676892.58689,9.666676892586889,3318325.975895597,out/guided_masks/guided_mask_120.png
121,3146.951041696898,1178.4872983268128,2799.922906620388,2170.4496266666665,2.799922906620388,6380344776.380735,6.380344776380736,3728282.3318920233,out/guided_masks/guided_mask_121.png
122,2866.372035614211,479.23655705535145,1620.4041733333333,1620.4041733333333,1.6204041733333334,1880312403.2113686,1.8803124032113685,1322910.3757383313,out/guided_masks/guided_mask_122.png
123,1379.8575282844472,638.9621102300371,2828.126472790641,2809.69164,2.828126472790641,6021973937.92894,6.02197393792894,2840522.3954835907,out/guided_masks/guided_mask_123.png
124,1485.4167619745192,900.3892154493049,2280.8510571857164,2170.4496266666665,2.2808510571857163,5573634517.298113,5.573634517298113,3041412.059958389,out/guided_masks/guided_mask_124.png
125,1649.2178494449595,613.4731997116672,1754.1990133333334,1754.1990133333334,1.7541990133333334,2107831421.930273,2.107831421930273,1430758.7324640758,out/guided_masks/guided_mask_125.png
126,1218.9444726084687,564.865006217941,1907.0026399159108,1902.8599466666667,1.9070026399159108,2423860258.818881,2.423860258818881,1835411.0709166124,out/guided_masks/guided_mask_126.png
127,689.4399393993151,1037.2959746155173,2470.847349068902,1665.0024533333333,2.4708473490689022,3452591647.736197,3.452591647736197,2989918.889636466,out/guided_masks/guided_mask_127.png
128,781.5575747917679,549.8262320574731,1735.9693731460357,1501.4754266666666,1.7359693731460357,1509142974.8664188,1.509142974866419,1363795.5109724763,out/guided_masks/guided_mask_128.png
